feature,age_lo,age_hi,sex,n,p1,p5,p10,p25,p50,p75,p90,p95,p99
HR_RANGE,0,50,0,1067,27.0,32.0,35.0,39.0,44.0,49.0,54.0,58.69999999999993,71.67999999999984
HR_RANGE,0,50,1,368,25.0,35.0,37.0,42.0,47.0,52.0,57.0,61.0,70.65999999999997
HR_RANGE,50,60,0,560,26.0,29.0,31.0,36.0,40.0,45.0,50.0,54.0,66.0
HR_RANGE,50,60,1,181,23.2,30.0,34.0,38.0,43.0,48.0,57.0,61.0,87.79999999999995
HR_RANGE,60,70,0,625,21.48,27.0,30.0,34.0,39.0,45.0,50.0,54.0,65.51999999999998
HR_RANGE,60,70,1,282,23.43,29.0,32.0,35.25,41.5,47.0,53.0,57.0,76.94999999999999
HR_RANGE,70,200,0,840,20.39,26.0,29.0,34.0,38.0,44.0,49.0,54.0,65.0
HR_RANGE,70,200,1,725,21.0,26.0,28.0,34.0,40.0,46.0,53.0,56.799999999999955,62.0
