age_lo,age_hi,sex,map_lo,map_hi,age_mid,map_mid,n_raw,n_weighted,events_weighted,rate
0,50,0,62.5,87.16666666666667,37.62256809338521,80.1556420233463,257,3531.9314999999997,24.0,0.006795148773411942
0,50,0,87.16666666666667,92.16666666666667,38.97593984962406,91.75112781954886,665,9787.019499999999,16.0,0.0016348184449821524
0,50,0,92.16666666666667,92.16666666666667,38.99821428571428,92.16666666666666,560,8360.802499999998,5.0,0.0005980287179370642
0,50,0,92.16666666666667,97.33333333333333,39.14542728635682,92.58320839580209,667,9803.074999999997,17.0,0.0017341497438303803
0,50,0,97.33333333333333,150.16666666666666,40.13235294117647,104.23039215686273,136,1794.549,18.0,0.01003037531992718
0,50,1,62.5,87.16666666666667,37.111111111111114,82.15046296296296,72,1055.8849999999998,2.0,0.001894145669272696
0,50,1,87.16666666666667,92.16666666666667,38.96244131455399,91.74804381846633,213,3122.4884999999995,6.0,0.0019215443067284318
0,50,1,92.16666666666667,92.16666666666667,38.87431693989071,92.16666666666663,183,2727.0454999999993,2.0,0.0007333944373132023
0,50,1,92.16666666666667,97.33333333333333,38.94979079497908,92.85216178521617,239,3457.709499999999,10.0,0.002892087955914169
0,50,1,97.33333333333333,150.16666666666666,40.98571428571429,103.80238095238094,70,941.4410000000003,8.0,0.008497611640028423
50,60,0,62.5,87.16666666666667,54.31623931623932,80.26068376068376,117,1452.2724999999996,22.0,0.015148672167241346
50,60,0,87.16666666666667,92.16666666666667,54.46394984326019,91.76907001044931,319,4437.261499999999,26.0,0.005859469855450261
50,60,0,92.16666666666667,92.16666666666667,54.286259541984734,92.16666666666667,262,3761.8194999999996,13.0,0.0034557745261302414
50,60,0,92.16666666666667,97.33333333333333,54.40522875816993,92.51960784313725,306,4353.9839999999995,18.0,0.004134144728138643
50,60,0,97.33333333333333,150.16666666666666,54.64,105.67333333333335,125,1460.2724999999996,30.0,0.020544110773845298
50,60,1,87.16666666666667,92.16666666666667,54.77450980392157,91.5915032679738,102,1395.1059999999993,10.0,0.007167914122654483
50,60,1,92.16666666666667,92.16666666666667,54.81927710843374,92.16666666666666,83,1165.2734999999998,6.0,0.005149005791344265
50,60,1,92.16666666666667,97.33333333333333,54.855670103092784,92.57731958762885,97,1305.7729999999997,11.0,0.008424128849348242
50,60,1,97.33333333333333,150.16666666666666,55.225806451612904,106.3790322580645,62,652.3310000000004,20.0,0.030659281867640796
60,70,0,62.5,87.16666666666667,64.83216783216783,80.57459207459209,143,1660.9939999999995,35.0,0.021071719705188587
60,70,0,87.16666666666667,92.16666666666667,64.590625,91.58854166666666,320,4241.4845,41.0,0.009666426931419884
60,70,0,92.16666666666667,92.16666666666667,64.41129032258064,92.16666666666667,248,3508.8759999999993,16.0,0.004559864754411385
60,70,0,92.16666666666667,97.33333333333333,64.4794952681388,92.65983175604626,317,4280.650999999999,35.0,0.008176326451280426
60,70,0,97.33333333333333,150.16666666666666,64.61538461538461,105.55361305361303,143,1562.6054999999994,42.0,0.026878185184936322
60,70,1,62.5,87.16666666666667,66.0,82.85,40,349.221,18.0,0.051543292070064514
60,70,1,87.16666666666667,92.16666666666667,64.92567567567568,91.55855855855857,148,1848.7154999999996,27.0,0.014604735017367467
60,70,1,92.16666666666667,92.16666666666667,64.6036036036036,92.16666666666661,111,1516.5499999999993,11.0,0.007253305199301049
60,70,1,92.16666666666667,97.33333333333333,64.83673469387755,92.82539682539682,147,1861.7709999999997,25.0,0.013428074666540623
60,70,1,97.33333333333333,150.16666666666666,65.19047619047619,104.62698412698413,84,828.9415000000001,31.0,0.03739709014447943
70,200,0,62.5,87.16666666666667,76.33333333333333,80.38966049382715,216,2043.2149999999997,86.0,0.04209052889686108
70,200,0,87.16666666666667,92.16666666666667,75.3475,91.43208333333332,400,4827.482499999999,85.0,0.017607521104426586
70,200,0,92.16666666666667,92.16666666666667,75.42361111111111,92.16666666666666,288,3829.986,36.0,0.00939951216531862
70,200,0,92.16666666666667,97.33333333333333,75.35969387755102,92.7988945578231,392,4805.427,78.0,0.016231648092874994
70,200,0,97.33333333333333,150.16666666666666,75.78461538461538,103.83504273504275,195,1994.1039999999996,67.0,0.03359904999939823
70,200,1,62.5,87.16666666666667,78.06493506493507,81.47619047619047,154,1095.7185,87.0,0.07939995537174922
70,200,1,87.16666666666667,92.16666666666667,77.04615384615384,91.54461538461538,325,3726.430999999999,83.0,0.022273322651083574
70,200,1,92.16666666666667,92.16666666666667,76.98755186721992,92.16666666666666,241,3206.7104999999992,30.0,0.009355381472696088
70,200,1,92.16666666666667,97.33333333333333,77.11815561959654,92.97358309317963,347,4113.873999999999,79.0,0.019203310553507477
70,200,1,97.33333333333333,150.16666666666666,77.56613756613757,105.56349206349206,189,1692.9384999999995,82.0,0.04843649075261743
