feature,age_lo,age_hi,sex,lo,hi,n_raw,n_weighted,events_weighted,rate
ATC95,50,60,0,9919.0,10549.2,39,516.8870000000001,5.0,0.009673294162940835
ATC95,50,60,0,10549.2,11548.599999999999,40,545.998,4.0,0.007326034161297294
ATC95,50,60,0,11548.599999999999,12483.0,39,474.7205,8.0,0.016852021347298043
ATC95,50,60,0,12483.0,13291.599999999999,40,574.109,2.0,0.003483659026421812
ATC95,50,60,0,13291.599999999999,14305.600000000002,40,531.9425000000001,5.0,0.009399512165318619
ATC95,50,60,0,14305.600000000002,15969.400000000001,39,432.55400000000003,11.0,0.025430350892605313
ATC95,50,60,0,15969.400000000001,18276.4,40,588.1645000000001,1.0,0.0017002046196259717
ATC95,50,60,0,18276.4,194565.0,40,503.83150000000006,7.0,0.01389353385010663
ATC95,60,70,0,0.0,1235.1999999999994,45,635.3310000000002,3.0,0.004721948086902731
ATC95,60,70,0,1235.1999999999994,4405.066666666667,45,508.83150000000006,12.0,0.023583445600360825
ATC95,60,70,0,4405.066666666667,5981.6,44,507.83150000000006,11.0,0.021660728017068653
ATC95,60,70,0,5981.6,7175.533333333333,45,536.9425000000001,10.0,0.01862396811576658
ATC95,60,70,0,7175.533333333333,8181.333333333333,44,479.7205,13.0,0.027099112920961267
ATC95,60,70,0,8181.333333333333,9002.0,45,466.665,15.0,0.03214297193918549
ATC95,60,70,0,9002.0,10223.933333333334,44,535.9425000000001,9.0,0.016792846247498563
ATC95,60,70,0,10223.933333333334,11228.866666666667,45,593.1645000000003,6.0,0.010115237847173924
ATC95,60,70,0,11228.866666666667,12311.0,44,535.9425000000001,9.0,0.016792846247498563
ATC95,60,70,0,12311.0,13176.333333333332,45,593.1645000000003,6.0,0.010115237847173924
ATC95,60,70,0,13176.333333333332,14215.466666666664,44,549.9980000000002,8.0,0.014545507438208862
ATC95,60,70,0,14215.466666666664,15698.599999999999,45,550.9980000000002,9.0,0.016333997582568354
ATC95,60,70,0,15698.599999999999,17328.200000000004,44,493.77600000000007,12.0,0.02430251774083795
ATC95,60,70,0,17328.200000000004,19743.26666666667,45,579.1090000000003,7.0,0.01208753447105812
ATC95,60,70,0,19743.26666666667,104606.0,45,579.1090000000003,7.0,0.01208753447105812
ATC95,60,70,1,0.0,4613.0,20,244.88799999999998,4.0,0.01633399758256836
ATC95,60,70,1,4613.0,7262.0,20,146.49949999999998,11.0,0.07508558049686177
ATC95,60,70,1,8508.0,10028.0,21,231.83249999999998,6.0,0.025880754423991462
ATC95,60,70,1,10028.0,11544.0,20,216.777,6.0,0.02767821309456262
ATC95,60,70,1,11544.0,12312.0,20,216.777,6.0,0.02767821309456262
ATC95,60,70,1,12312.0,13147.0,20,160.555,10.0,0.062283952539628165
ATC95,60,70,1,13147.0,14223.0,20,230.83249999999998,5.0,0.021660728017068656
ATC95,60,70,1,14223.0,14986.0,20,188.666,8.0,0.04240297668896357
ATC95,60,70,1,14986.0,16145.0,20,258.9435,3.0,0.011585538930307192
ATC95,60,70,1,16145.0,17135.0,20,244.88799999999998,4.0,0.01633399758256836
ATC95,60,70,1,17135.0,19013.0,20,258.9435,3.0,0.011585538930307192
ATC95,60,70,1,19013.0,20374.0,20,188.666,8.0,0.04240297668896357
ATC95,60,70,1,20374.0,23090.0,20,287.05449999999996,1.0,0.0034836590264218123
ATC95,60,70,1,23090.0,90983.0,21,231.83249999999998,6.0,0.025880754423991462
