feature,age_lo,age_hi,sex,n,p1,p5,p10,p25,p50,p75,p90,p95,p99
ATC95,0,50,0,1153,0.0,0.0,0.0,7117.0,10795.0,14794.0,18510.199999999997,20654.399999999994,26401.600000000006
ATC95,0,50,1,404,0.0,0.0,0.0,8915.0,13577.5,17821.75,22293.3,23696.5,29605.65999999998
ATC95,50,60,0,595,0.0,0.0,2225.6,6557.5,10200.0,13475.0,16947.2,20063.399999999994,25730.679999999986
ATC95,50,60,1,194,0.0,0.0,4046.9,8938.0,13038.0,17326.75,20424.900000000005,25589.0,37919.65
ATC95,60,70,0,669,0.0,0.0,3039.4,6784.0,10740.0,14570.0,18370.2,20472.4,26171.64000000001
ATC95,60,70,1,301,0.0,0.0,6126.0,9853.0,13586.0,17704.0,21591.0,24453.0,29168.0
ATC95,70,200,0,906,0.0,0.0,2712.0,6567.25,10289.5,13749.0,17269.5,19652.5,24955.300000000083
ATC95,70,200,1,764,0.0,0.0,4034.6,8076.5,11624.5,15841.0,19431.100000000002,21882.95,30065.280000000002
