feature,age_lo,age_hi,sex,n,p1,p5,p10,p25,p50,p75,p90,p95,p99
RR_irregularity,0,50,0.0,0,0.010506584469804335,0.016180706334760778,0.02036911596126583,0.02992440533335191,0.04588111111111111,0.07034647249761498,0.10334647614521726,0.1300979273239646,0.2003578196929802
RR_irregularity,0,50,1.0,0,0.00938869345535374,0.014410980003713566,0.018109085935624863,0.026525306847717485,0.04053555555555557,0.06194579665489992,0.09073518509098812,0.1140193979711381,0.17501170658208726
RR_irregularity,50,60,0.0,0,0.006692993392158219,0.010115962883776234,0.012607752742167026,0.01821511769393913,0.02741416666666667,0.04125894472138619,0.05960907938131118,0.07429214031944265,0.11228705752321647
RR_irregularity,50,60,1.0,0,0.005616029278050742,0.008693436386961084,0.010973696965889516,0.01619531371606953,0.024957500000000004,0.03846031124620705,0.056760889988683096,0.07164909001740978,0.11091053401099678
RR_irregularity,60,70,0.0,0,0.0050581392868667046,0.007837153485893918,0.009897738579593486,0.014619534627570055,0.022550000000000004,0.03478239991586651,0.05137562443287779,0.06488357040796161,0.10053153366501998
RR_irregularity,60,70,1.0,0,0.003910722763637457,0.00639966301384649,0.008321209292505355,0.012904003488776723,0.021009999999999997,0.03420799602107405,0.053047590137838836,0.06897552246812544,0.11287430142182325
RR_irregularity,70,200,0.0,0,0.0028928136318951635,0.0049923495951383415,0.006677910098971467,0.010857798563658429,0.018633333333333335,0.03197711848083184,0.051992480576308946,0.06954663420390729,0.12002194240340669
RR_irregularity,70,200,1.0,0,0.0022883461808855107,0.004208130216566543,0.005822762765236025,0.010018452154996652,0.018308333333333333,0.03345777014838241,0.057566327696824404,0.07965415806879028,0.14647917882544134
